FamId,SibId,Sex,Age,Zygosity,OBJECTS1,OBJECTS2,OBJECTS3,OBJECTS4,OBJECTS5,OBJECTS6,OBJECTS7,OBJECTS8,OBJECTS9,OBJECTS10,OBJECTS11,OBJECTS12,OBJECTS13,OBJECTS14,OBJECTS15,OBJECTS16,OBJECTS17,OBJECTS18,OBJECTS19,OBJECTS20,OBJECTS21,OBJECTS22,OBJECTS23,OBJECTS24,OBJECTS25,OBJECTS26,OBJECTS27,OBJECTS28,OBJECTS29,OBJECTS30,OBJECTS31,OBJECTS32,OBJECTS33,OBJECTS34,OBJECTS35,OBJECTS36,OBJECTS37,OBJECTS38,OBJECTS39,OBJECTS40,OBJECTS41,OBJECTS42,OBJECTS43,OBJECTS44,OBJECTS45,OBJECTS46,OBJECTS47,OBJECTS48,OBJECTS49,OBJECTS50,OBJECTS51,OBJECTS52,OBJECTS53,OBJECTS54,OBJECTS55,OBJECTS56,OBJECTS57,OBJECTS58,OBJECTS59,OBJECTS60,OBJECTS61,OBJECTS62,OBJECTS63,OBJECTS64,OBJECTS65,SCENES1,SCENES2,SCENES3,SCENES4,SCENES5,SCENES6,SCENES7,SCENES8,SCENES9,SCENES10,SCENES11,SCENES12,SCENES13,SCENES14,SCENES15,SCENES16,SCENES17,SCENES18,SCENES19,SCENES20,SCENES21,SCENES22,SCENES23,SCENES24,SCENES25,SCENES26,SCENES27,SCENES28,SCENES29,SCENES30,SCENES31,SCENES32,SCENES33,SCENES34,SCENES35,SCENES36,SCENES37,SCENES38,SCENES39,SCENES40,SCENES41,SCENES42,SCENES43,SCENES44,SCENES45,SCENES46,SCENES47,SCENES48,SCENES49,SCENES50,SCENES51,SCENES52,SCENES53,SCENES54,SCENES55,SCENES56,SCENES57,SCENES58,SCENES59,SCENES60,SCENES61,SCENES62,SCENES63,SCENES64,SCENES65,Faces.MIT1,Faces.MIT2,Faces.MIT3,Faces.MIT4,Faces.MIT5,Faces.MIT6,Faces.MIT7,Faces.MIT8,Faces.MIT9,Faces.MIT10,Faces.MIT11,Faces.MIT12,Faces.MIT13,Faces.MIT14,Faces.MIT15,Faces.MIT16,Faces.MIT17,Faces.MIT18,Faces.MIT19,Faces.MIT20,Faces.MIT21,Faces.MIT22,Faces.MIT23,Faces.MIT24,Faces.MIT25,Faces.MIT26,Faces.MIT27,Faces.MIT28,Faces.MIT29,Faces.MIT30,Faces.MIT31,Faces.MIT32,Faces.MIT33,Faces.MIT34,Faces.MIT35,Faces.MIT36,Faces.MIT37,Faces.MIT38,Faces.MIT39,Faces.MIT40,Faces.MIT41,Faces.MIT42,Faces.MIT43,Faces.MIT44,Faces.MIT45,Faces.MIT46,Faces.MIT47,Faces.MIT48,Faces.MIT49,Faces.MIT50,Faces.MIT51,Faces.MIT52,Faces.MIT53,Faces.MIT54,Faces.MIT55,Faces.MIT56,Faces.MIT57,Faces.MIT58,Faces.MIT59,Faces.MIT60,Faces.MIT61,Faces.MIT62,Faces.MIT63,Faces.MIT64,Faces.MIT65,Faces.GENHEAD1,Faces.GENHEAD2,Faces.GENHEAD3,Faces.GENHEAD4,Faces.GENHEAD5,Faces.GENHEAD6,Faces.GENHEAD7,Faces.GENHEAD8,Faces.GENHEAD9,Faces.GENHEAD10,Faces.GENHEAD11,Faces.GENHEAD12,Faces.GENHEAD13,Faces.GENHEAD14,Faces.GENHEAD15,Faces.GENHEAD16,Faces.GENHEAD17,Faces.GENHEAD18,Faces.GENHEAD19,Faces.GENHEAD20,Faces.GENHEAD21,Faces.GENHEAD22,Faces.GENHEAD23,Faces.GENHEAD24,Faces.GENHEAD25,Faces.GENHEAD26,Faces.GENHEAD27,Faces.GENHEAD28,Faces.GENHEAD29,Faces.GENHEAD30,Faces.GENHEAD31,Faces.GENHEAD32,Faces.GENHEAD33,Faces.GENHEAD34,Faces.GENHEAD35,Faces.GENHEAD36,Faces.GENHEAD37,Faces.GENHEAD38,Faces.GENHEAD39,Faces.GENHEAD40,Faces.GENHEAD41,Faces.GENHEAD42,Faces.GENHEAD43,Faces.GENHEAD44,Faces.GENHEAD45,Faces.GENHEAD46,Faces.GENHEAD47,Faces.GENHEAD48,Faces.GENHEAD49,Faces.GENHEAD50,Faces.GENHEAD51,Faces.GENHEAD52,Faces.GENHEAD53,Faces.GENHEAD54,Faces.GENHEAD55,Faces.GENHEAD56,Faces.GENHEAD57,Faces.GENHEAD58,Faces.GENHEAD59,Faces.GENHEAD60,Faces.GENHEAD61,Faces.GENHEAD62,Faces.GENHEAD63,Faces.GENHEAD64,Faces.GENHEAD65,Faces.GLASGOW1,Faces.GLASGOW2,Faces.GLASGOW3,Faces.GLASGOW4,Faces.GLASGOW5,Faces.GLASGOW6,Faces.GLASGOW7,Faces.GLASGOW8,Faces.GLASGOW9,Faces.GLASGOW10,Faces.GLASGOW11,Faces.GLASGOW12,Faces.GLASGOW13,Faces.GLASGOW14,Faces.GLASGOW15,Faces.GLASGOW16,Faces.GLASGOW17,Faces.GLASGOW18,Faces.GLASGOW19,Faces.GLASGOW20,Faces.GLASGOW21,Faces.GLASGOW22,Faces.GLASGOW23,Faces.GLASGOW24,Faces.GLASGOW25,Faces.GLASGOW26,Faces.GLASGOW27,Faces.GLASGOW28,Faces.GLASGOW29,Faces.GLASGOW30,Faces.GLASGOW31,Faces.GLASGOW32,Faces.GLASGOW33,Faces.GLASGOW34,Faces.GLASGOW35,Faces.GLASGOW36,Faces.GLASGOW37,Faces.GLASGOW38,Faces.GLASGOW39,Faces.GLASGOW40,Faces.GLASGOW41,Faces.GLASGOW42,Faces.GLASGOW43,Faces.GLASGOW44,Faces.GLASGOW45,Faces.GLASGOW46,Faces.GLASGOW47,Faces.GLASGOW48,Faces.GLASGOW49,Faces.GLASGOW50,Faces.GLASGOW51,Faces.GLASGOW52,Faces.GLASGOW53,Faces.GLASGOW54,Faces.GLASGOW55,Faces.GLASGOW56,Faces.GLASGOW57,Faces.GLASGOW58,Faces.GLASGOW59,Faces.GLASGOW60,Faces.GLASGOW61,Faces.GLASGOW62,Faces.GLASGOW63,Faces.GLASGOW64,Faces.GLASGOW65,Faces.OTHER1,Faces.OTHER2,Faces.OTHER3,Faces.OTHER4,Faces.OTHER5,Faces.OTHER6,Faces.OTHER7,Faces.OTHER8,Faces.OTHER9,Faces.OTHER10,Faces.OTHER11,Faces.OTHER12,Faces.OTHER13,Faces.OTHER14,Faces.OTHER15,Faces.OTHER16,Faces.OTHER17,Faces.OTHER18,Faces.OTHER19,Faces.OTHER20,Faces.OTHER21,Faces.OTHER22,Faces.OTHER23,Faces.OTHER24,Faces.OTHER25,Faces.OTHER26,Faces.OTHER27,Faces.OTHER28,Faces.OTHER29,Faces.OTHER30,Faces.OTHER31,Faces.OTHER32,Faces.OTHER33,Faces.OTHER34,Faces.OTHER35,Faces.OTHER36,Faces.OTHER37,Faces.OTHER38,Faces.OTHER39,Faces.OTHER40,Faces.OTHER41,Faces.OTHER42,Faces.OTHER43,Faces.OTHER44,Faces.OTHER45,Faces.OTHER46,Faces.OTHER47,Faces.OTHER48,Faces.OTHER49,Faces.OTHER50,Faces.OTHER51,Faces.OTHER52,Faces.OTHER53,Faces.OTHER54,Faces.OTHER55,Faces.OTHER56,Faces.OTHER57,Faces.OTHER58,Faces.OTHER59,Faces.OTHER60,Faces.OTHER61,Faces.OTHER62,Faces.OTHER63,Faces.OTHER64,Faces.OTHER65
191,1,2,51,DZ,6,3,4,4,6,7,6,6,5,5,7,2,5,6,5,7,6,6,5,6,5,7,2,5,7,3,6,4,2,6,2,4,6,3,7,6,6,1,7,6,6,5,2,7,7,7,7,4,7,7,3,7,6,2,4,7,6,7,5,6,6,6,7,2,7,6,2,1,5,6,1,3,5,5,4,2,5,5,6,6,7,5,2,2,3,7,1,3,2,1,1,7,7,7,7,6,2,5,5,1,2,4,1,1,6,1,3,2,6,6,7,7,6,3,7,1,2,5,6,6,1,7,1,6,7,6,2,2,2,7,4,5,6,4,3,3,3,1,2,4,2,3,1,3,3,4,6,6,4,2,3,3,3,2,1,2,2,2,2,5,4,3,3,2,2,1,2,2,2,3,2,4,2,4,2,3,3,4,3,3,4,3,3,4,4,5,4,3,2,6,5,1,2,2,4,6,5,4,5,5,5,4,3,3,4,4,2,4,6,3,4,3,4,4,7,7,5,5,6,5,6,4,4,5,6,3,3,3,3,4,3,4,5,4,4,4,5,6,5,4,5,4,4,4,3,2,6,6,5,5,5,6,5,5,7,4,6,4,6,5,6,5,3,5,7,7,7,6,4,2,1,3,4,5,7,7,4,7,5,4,6,3,3,2,5,4,3,5,6,7,7,5,6,7,5,4,3,6,7,4,6,7,7,6,5,3,2,1,2,2,2,6,4,3,7,7,7,3,3,7,6,4,6,7,4,5,7,6,2,2,6,5,4,6,2,6,5,6,2,5,6,5,1,7,3,3,3,3,4,2,6,4,5,4,5,6,2,5,4,3,3,5,2,4,4,3,5,5,3,3,6,3,5,3,4,5,5,6,6,5,2,2,3,4,5,4,3,3,5,4
192,1,2,52,DZ,1,1,2,2,5,2,2,2,2,1,1,4,4,5,1,1,1,1,1,2,2,3,2,3,1,4,2,3,3,2,2,3,3,1,1,1,3,3,2,5,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,1,2,2,1,2,1,1,2,2,1,5,6,1,3,2,3,3,2,6,6,7,7,7,2,4,3,2,7,3,3,2,1,2,6,7,7,2,7,3,6,7,2,3,7,2,2,7,2,2,6,7,7,7,4,2,2,2,1,1,3,6,7,3,7,2,5,3,6,6,3,6,4,5,5,5,5,5,5,5,3,3,4,3,5,4,4,4,4,7,5,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,5,5,5,5,2,2,3,3,3,2,6,4,4,4,5,4,6,6,6,2,6,6,6,5,6,3,6,6,4,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,5,5,5,6,6,4,4,3,5,5,6,6,5,4,6,5,5,7,5,5,5,6,6,5,5,6,6,6,4,5,5,4,4,4,5,4,4,4,7,7,6,6,4,4,4,4,4,4,4,4,4,6,6,7,5,5,6,6,6,5,7,5,6,6,4,4,4,4,4,5,6,4,6,6,6,5,5,6,5,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,5,4,3,5,3,3,6,5,6,3,6,6,4,7,7,6,4,4,4,4,6,4,4,4,6,6
193,1,1,44,MZ,2,4,4,5,5,5,5,5,5,3,5,3,5,4,3,3,5,6,6,7,3,5,5,6,7,5,5,5,5,5,4,6,6,6,6,7,7,5,6,6,6,6,4,6,6,4,5,2,2,2,5,5,3,6,3,6,3,6,5,3,5,6,6,6,6,2,2,1,3,5,3,3,4,4,6,4,3,6,6,6,6,6,6,3,6,6,3,4,5,5,2,6,6,6,6,6,3,6,5,3,3,5,3,3,5,3,3,3,5,6,6,6,6,6,6,2,2,5,5,5,2,5,5,5,6,6,3,3,3,6,3,2,3,3,4,3,4,2,2,3,4,2,2,3,3,3,5,5,4,4,3,3,3,3,3,2,2,1,1,2,1,1,1,1,1,2,4,1,2,4,2,4,1,3,3,3,4,5,3,2,3,4,4,4,4,5,5,4,3,4,5,5,3,2,2,4,4,4,4,4,4,3,2,2,2,4,3,2,4,3,4,4,4,4,5,5,4,4,4,5,5,5,5,5,6,4,4,4,4,6,4,4,4,5,3,3,3,5,5,5,5,3,6,6,3,4,5,3,3,3,4,4,5,5,5,3,3,3,4,3,5,4,4,4,6,5,6,6,4,4,3,3,5,7,6,6,4,6,4,4,7,4,4,4,5,5,4,4,6,4,5,3,6,6,3,3,3,6,4,4,4,6,7,4,4,4,3,3,2,2,2,4,3,2,4,6,6,3,5,3,6,3,3,7,3,5,4,5,3,3,4,4,4,5,3,6,6,7,3,6,6,7,2,7,2,7,1,1,1,2,2,5,3,5,5,6,2,2,3,1,2,4,2,2,2,2,4,5,2,2,6,2,6,2,6,6,7,7,7,7,2,2,2,4,4,2,2,2,5,2
194,1,2,45,MZ,3,4,4,4,3,4,3,3,3,3,3,5,4,5,3,3,5,5,3,6,3,3,4,6,4,4,4,3,3,3,3,3,3,3,6,3,4,3,4,3,5,2,2,4,4,2,2,2,2,2,3,3,2,5,2,6,3,6,3,3,3,2,4,2,2,6,3,1,6,6,2,5,6,6,7,5,5,5,7,7,7,3,3,2,1,5,3,3,2,2,2,5,7,7,2,6,2,6,5,5,2,5,1,1,5,2,2,2,6,6,5,7,1,1,6,1,1,6,5,6,2,5,1,6,2,6,2,1,2,6,4,3,5,6,2,1,7,3,2,4,4,4,4,5,5,4,5,5,5,3,6,5,4,5,5,4,3,2,2,5,4,2,2,2,5,2,5,1,2,6,4,5,1,4,3,4,4,4,4,4,5,5,4,3,3,3,7,6,3,5,3,2,2,1,3,3,3,3,4,4,4,4,3,4,3,3,3,3,4,4,4,4,3,5,5,4,4,3,4,4,4,3,4,3,4,3,3,3,3,5,3,3,3,3,3,3,3,5,4,4,4,3,4,3,3,3,3,4,3,3,3,3,4,3,4,3,3,3,3,4,4,3,3,3,5,5,6,6,4,3,3,3,4,4,5,5,4,6,2,4,6,3,3,3,3,3,3,4,5,5,4,3,5,5,3,4,3,6,5,4,3,6,6,5,6,3,3,3,3,2,2,5,2,2,5,5,5,4,3,6,6,5,5,6,4,5,5,5,3,3,5,5,5,6,3,6,6,6,3,5,6,6,3,5,3,3,3,3,3,3,3,4,3,4,4,5,2,2,2,2,2,4,2,2,4,3,4,4,2,3,4,2,4,1,4,4,2,5,5,4,2,2,2,3,2,2,2,2,4,2
195,1,2,40,MZ,2,2,2,4,4,5,5,6,3,2,4,2,2,3,4,4,6,7,6,2,2,3,7,5,2,7,7,5,4,4,4,3,2,2,6,5,2,4,2,5,5,5,5,4,2,3,4,4,4,2,2,3,3,3,4,7,2,2,5,3,2,6,2,5,6,6,3,2,5,6,4,4,7,6,7,4,7,5,7,7,7,4,3,4,4,7,4,5,5,5,6,7,7,7,4,7,5,5,6,5,3,7,3,3,7,4,4,4,6,3,7,7,4,4,7,2,4,6,6,7,3,7,5,6,4,6,3,2,3,7,4,3,4,4,4,5,5,4,4,5,3,4,3,5,5,4,6,6,4,5,6,4,6,4,3,3,3,3,3,5,5,4,6,4,5,5,5,3,3,5,3,3,2,4,3,4,4,5,4,5,5,5,4,4,4,6,5,4,3,5,6,5,3,3,3,6,5,4,5,5,6,5,5,5,6,6,5,5,6,5,6,5,6,5,6,6,6,5,6,6,6,6,6,6,6,5,4,4,4,6,5,5,5,6,5,5,4,5,5,5,5,5,5,6,4,4,5,4,4,4,5,5,5,4,5,4,4,5,5,5,4,3,3,4,5,5,6,6,4,3,3,3,5,5,4,6,4,5,5,4,6,4,3,4,5,4,4,6,6,6,6,4,5,6,5,4,4,6,5,3,4,6,6,5,4,3,4,3,4,2,3,5,4,3,5,5,6,4,4,6,6,4,5,6,5,6,6,5,3,3,4,4,4,5,4,4,5,6,6,4,4,5,4,5,5,5,3,3,4,6,5,5,5,4,4,6,3,3,4,3,3,5,3,3,6,4,5,5,4,4,5,3,5,4,4,6,4,5,5,5,4,5,4,4,4,3,3,3,5,4
196,1,2,45,DZ,3,4,4,4,5,5,3,3,3,3,3,4,4,5,4,3,5,6,3,5,3,3,6,6,4,7,4,4,4,3,3,4,4,5,6,4,5,4,6,4,5,3,3,4,5,3,4,3,3,4,4,4,3,4,3,6,3,6,6,3,5,3,7,3,5,5,4,3,6,7,3,6,7,6,7,3,6,7,7,7,7,3,3,3,4,6,3,3,3,3,3,6,7,7,6,7,3,6,7,3,3,7,3,3,7,3,3,3,7,6,7,7,3,3,6,3,3,5,6,6,3,6,2,6,6,6,2,1,3,5,4,4,4,5,4,4,3,3,3,4,3,3,4,3,5,4,5,4,3,4,4,4,3,4,3,3,3,3,3,5,6,4,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,4,3,4,3,3,3,3,3,3,3,2,4,3,3,4,5,4,4,3,3,4,5,3,2,4,3,5,3,3,3,6,6,6,3,4,4,4,3,5,4,4,3,4,3,3,4,4,4,3,3,3,3,4,3,3,5,5,5,5,4,3,3,4,3,3,3,3,5,4,3,4,3,3,3,3,5,3,3,3,3,4,3,4,4,3,3,3,3,4,4,4,4,3,4,3,3,4,3,3,3,4,3,3,4,5,5,5,3,4,4,4,3,3,5,5,3,3,5,5,5,4,5,5,3,3,3,3,4,3,3,4,4,6,3,4,5,5,4,5,4,5,6,4,4,3,3,5,5,4,4,3,4,4,4,3,4,5,5,3,4,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,3,3,4,3,4,5,4,4,6,3,5,3,4,4,5,5,5,5,4,4,3,4,4,3,3,3,4,3
197,1,2,42,MZ,2,3,2,4,4,6,5,5,5,5,6,6,4,5,4,4,4,7,5,4,3,4,5,6,4,4,5,4,5,3,3,4,3,2,6,4,4,4,4,3,3,3,3,5,6,4,5,4,3,6,3,6,4,4,3,7,3,5,5,4,4,4,5,3,4,5,2,1,7,6,3,3,5,6,7,3,6,7,7,7,6,4,1,3,3,6,2,2,2,4,1,3,7,7,3,6,2,3,3,1,2,6,1,2,6,2,2,2,6,2,7,4,2,2,5,1,3,6,6,7,2,6,2,3,3,3,2,2,2,3,2,3,3,4,4,4,3,1,1,5,3,3,1,2,4,3,5,5,4,2,5,2,3,2,2,2,1,1,1,5,4,3,4,3,2,2,4,1,2,3,3,5,1,3,1,2,2,3,2,3,3,3,1,2,4,4,5,3,2,4,3,2,2,1,2,5,3,4,5,4,5,4,3,6,5,6,4,4,6,6,6,5,6,4,7,5,5,4,6,5,6,6,5,6,5,4,3,3,3,5,5,4,5,5,4,4,4,6,4,6,5,4,5,5,4,4,5,6,4,5,6,7,6,6,7,4,4,5,6,4,4,2,2,4,7,5,7,6,3,1,1,1,4,6,6,7,2,4,2,2,6,2,2,2,4,3,3,6,6,7,7,5,6,5,4,3,2,7,7,3,3,7,7,6,6,3,3,2,2,1,1,3,2,1,7,5,7,3,3,7,6,4,7,7,3,6,5,6,2,1,4,6,5,6,3,6,7,5,1,5,7,5,2,6,2,1,1,3,2,3,3,3,2,3,6,6,1,2,2,2,3,4,1,1,4,2,6,5,2,2,6,2,5,2,3,6,5,6,6,5,2,2,3,3,6,2,3,1,4,4
198,1,1,46,DZ,4,4,3,3,4,3,5,4,4,4,5,4,4,4,4,4,3,5,4,5,5,4,4,4,5,4,4,3,3,4,3,4,5,4,5,4,4,3,5,4,4,3,3,4,5,4,4,4,4,4,4,3,4,4,4,5,5,4,4,4,5,4,5,3,4,5,5,4,5,5,3,3,4,4,3,4,5,5,5,4,5,4,4,5,4,5,4,4,4,4,3,5,5,4,4,5,4,4,5,3,3,5,3,3,5,3,5,4,6,4,6,4,4,4,5,3,3,4,5,4,4,5,4,4,5,4,3,4,4,4,4,4,4,4,5,4,4,3,3,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,2,3,4,3,3,4,4,4,5,4,4,4,4,4,3,4,4,5,4,4,4,6,5,5,4,4,5,5,4,5,5,4,3,4,3,3,4,4,3,3,4,4,3,3,4,4,4,4,3,4,4,3,3,4,4,3,3,4,4,5,4,5,4,4,4,4,3,3,4,3,4,6,4,7,7,3,3,3,3,4,6,6,6,4,5,4,4,6,3,3,4,5,4,4,6,6,4,6,4,6,7,5,4,3,4,3,3,3,6,6,3,4,3,3,3,3,2,2,3,3,2,5,6,6,4,4,4,5,4,3,6,3,4,4,4,3,3,4,3,3,6,3,4,5,5,3,4,4,4,3,5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,2,2,4,2,2,2,2,5,4,2,2,6,3,6,2,4,4,5,6,5,4,2,2,2,3,4,3,3,3,4,3
199,1,1,42,MZ,3,3,3,5,3,5,6,6,3,4,5,3,3,3,5,5,6,5,6,3,3,3,2,4,4,4,3,3,3,5,3,6,3,6,5,3,3,3,5,3,6,3,5,5,5,5,3,3,3,3,3,3,3,3,3,5,3,5,3,3,3,3,6,3,5,3,3,2,4,4,3,3,3,4,4,4,4,5,5,6,6,4,2,2,5,6,2,4,2,4,2,6,6,7,3,4,2,6,2,2,2,5,2,2,5,2,2,2,5,2,6,5,2,2,6,2,2,4,5,6,2,6,2,6,5,6,2,2,2,5,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,5,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,5,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,3,3,3,4,3,3,3,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,4,3,3,3,4,4,4,4,4,5,4,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,3,5,4,4,3,4,3,3,4,3,3,3,3,3,3,4,4,5,4,3,4,5,3,3,3,4,3,3,3,4,5,3,5,3,3,3,3,3,3,4,3,3,4,4,4,3,3,5,5,4,3,4,3,4,4,4,3,3,4,4,4,5,3,3,3,4,3,4,4,5,3,5,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,5,3,3,3,4,4,4,5,4,4,3,3,3,3,3,3,3,3,4,3
200,1,1,50,MZ,5,4,4,4,5,5,5,6,5,5,5,3,3,4,5,6,6,5,6,3,5,6,6,6,5,6,4,4,3,6,3,4,4,5,6,5,6,3,5,4,6,4,5,6,6,6,4,4,5,4,4,5,5,3,6,5,6,6,4,6,6,5,6,5,4,7,3,2,4,7,6,6,5,6,5,4,6,6,7,7,7,6,5,2,6,6,4,5,4,3,1,7,6,6,5,6,3,6,5,3,4,4,2,4,5,4,3,3,6,4,7,5,4,4,6,1,2,5,6,6,3,6,3,6,6,7,4,3,4,5,4,4,5,4,6,5,4,3,4,6,4,3,2,3,6,4,6,5,4,3,5,4,4,4,3,3,3,3,3,4,4,3,4,3,3,3,5,3,3,3,3,4,2,3,4,4,5,4,3,3,4,4,4,4,4,5,4,4,4,5,5,4,4,3,4,4,3,4,4,5,5,6,5,4,5,5,4,4,6,5,6,5,6,4,6,6,6,5,5,5,5,5,5,6,5,4,3,3,3,6,5,4,4,4,3,3,3,6,5,5,5,4,5,5,3,4,6,4,4,4,5,5,5,5,5,4,4,5,5,4,4,3,3,4,5,5,5,5,4,3,3,2,4,6,5,6,3,6,3,3,6,2,4,5,5,5,4,6,6,4,6,4,6,6,4,4,3,6,4,3,4,6,7,5,5,3,3,3,3,3,3,4,3,3,5,6,6,4,4,3,6,5,3,6,4,5,6,5,3,3,4,5,5,5,3,6,6,6,3,4,5,6,3,6,3,3,3,3,3,3,3,3,3,4,4,5,2,3,4,3,3,4,3,3,4,3,4,5,2,4,5,2,5,3,6,6,5,6,6,6,2,3,2,4,5,3,3,3,4,3
201,1,2,48,MZ,2,2,2,7,7,7,2,2,2,2,2,7,7,2,1,1,7,7,1,7,1,1,7,7,2,7,7,7,1,1,6,2,2,2,2,2,2,2,6,2,6,7,2,7,2,1,6,7,1,7,1,7,1,7,1,6,1,7,7,2,2,2,6,2,6,6,2,1,6,7,2,3,4,4,6,1,6,7,7,7,7,3,1,1,1,7,1,6,2,1,1,6,4,6,7,7,2,6,7,3,1,7,1,1,7,2,2,2,7,4,7,7,1,1,7,1,1,3,4,7,1,7,2,7,7,7,1,1,2,7,4,3,6,6,7,4,3,1,1,3,2,4,1,4,6,4,5,6,4,2,1,3,1,6,2,3,1,1,1,6,5,3,5,3,2,1,1,1,1,4,4,4,3,5,1,2,5,6,3,6,7,2,1,3,7,5,1,3,1,6,5,1,1,2,5,5,3,3,5,5,5,3,3,5,3,5,3,3,7,6,7,6,7,3,7,7,6,6,6,6,7,2,6,6,6,3,1,1,1,6,3,2,6,6,6,3,3,6,3,7,7,3,7,7,1,1,3,7,1,3,6,6,6,6,6,1,1,3,3,3,4,2,1,2,4,2,4,7,1,1,1,1,2,7,7,6,1,7,2,1,7,1,1,1,2,2,2,3,3,7,7,2,3,7,6,1,1,2,5,1,1,7,7,6,6,1,1,1,1,1,1,3,2,1,7,7,7,1,2,7,7,1,6,7,1,3,6,6,2,2,6,3,3,6,2,3,3,3,1,3,3,7,1,6,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,3,1,3,1,1,2,1,2,3,1,3,3,1,3,1,2,7,6,6,2,3,2,1,1,2,3,3,3,2,4,1
202,1,2,48,DZ,1,3,3,4,5,6,3,4,4,2,3,1,3,6,3,3,7,3,4,4,3,5,7,5,5,6,7,5,3,3,3,4,3,3,5,2,3,1,5,3,3,3,3,4,4,3,5,4,3,6,3,6,4,1,2,3,2,3,6,2,2,2,6,2,5,4,2,1,4,3,1,2,4,5,4,2,6,7,7,7,7,2,1,1,3,5,1,2,2,2,1,6,7,7,3,7,2,7,3,1,1,6,1,1,6,2,2,2,6,3,7,4,2,2,5,1,1,4,5,7,1,7,2,5,3,6,1,1,1,3,4,4,5,5,5,4,3,3,3,5,4,4,2,3,4,4,5,4,3,2,3,3,4,2,2,2,1,2,1,3,3,3,3,3,4,2,2,3,2,2,4,4,1,3,2,3,3,4,3,4,4,4,3,3,3,4,4,3,2,4,3,2,2,1,3,4,2,2,2,4,5,4,3,2,5,5,4,2,5,4,5,3,5,2,7,7,6,3,4,6,5,5,6,6,6,2,3,1,1,4,3,2,3,3,2,2,3,5,4,6,6,2,5,5,3,2,6,2,4,3,5,5,5,5,6,2,3,3,6,2,4,3,3,5,5,6,6,7,4,2,2,1,6,7,6,7,4,5,2,3,6,3,3,3,6,7,5,7,7,7,7,5,5,6,7,4,3,6,4,4,4,5,6,3,6,3,2,2,2,2,2,4,2,1,6,5,6,4,5,7,5,4,4,6,3,5,6,6,2,2,5,4,4,5,2,4,4,4,2,4,5,4,1,5,1,3,1,2,2,2,3,3,2,4,4,5,3,4,2,2,2,3,1,2,5,2,4,4,2,2,5,2,5,2,4,7,6,6,5,5,2,2,2,3,4,4,3,2,4,2
